context,model,condition,sample_type,n_matched_cells,n_both_valid,pct_both_valid,exact_agreement_rate,mean_abs_diff,spearman_r,spearman_p,clustered_mean_shift_ctx_minus_orig,clustered_shift_se,clustered_shift_p,n_persona_clusters
negative_minor,llama,A_forced,primary_full_sample_no_valid_NA_option,37800,37800,100.0,0.7956084656084657,0.20547619047619048,0.7545583787563055,0.0,-0.09150793650793651,0.002773031095383401,8.327073379702207e-239,5400.0
negative_minor,llama,B_optional,descriptive_only_selected_sample,37800,37800,100.0,0.7925661375661376,0.2115079365079365,0.7439607069382415,0.0,0.01574074074074074,0.0024001233001504307,5.442279650087172e-11,5400.0
negative_minor,gemma,A_forced,primary_full_sample_no_valid_NA_option,37800,37800,100.0,0.7567195767195767,0.2718253968253968,0.8884134895353538,0.0,-0.17055555555555552,0.002544323257131174,0.0,5400.0
negative_minor,gemma,B_optional,descriptive_only_selected_sample,37800,37798,99.994708994709,0.7999629610032277,0.20040742896449548,0.8930783271436884,0.0,-0.13945182284776972,0.0025120179807109643,0.0,5400.0
negative_minor,qwen,A_forced,primary_full_sample_no_valid_NA_option,37800,37800,100.0,0.8365343915343916,0.16502645502645502,0.7298372502011443,0.0,-0.13962962962962963,0.002256071019004425,0.0,5400.0
negative_minor,qwen,B_optional,descriptive_only_selected_sample,37800,2309,6.108465608465608,0.4742312689475964,0.5257687310524036,0.20234834723433057,9.258487438548199e-23,0.4097011693373755,0.012502397272039058,1.585787758230022e-235,1915.0
negative_minor,ministral,A_forced,primary_full_sample_no_valid_NA_option,37800,37800,100.0,0.9061904761904762,0.09380952380952381,0.8101805812924814,0.0,-0.07534391534391535,0.001521694501321482,0.0,5400.0
negative_minor,ministral,B_optional,descriptive_only_selected_sample,37800,6250,16.534391534391535,0.9904,0.0096,,,-0.009600000000000001,0.0012358768594882624,7.98836066024811e-15,5251.0
negative_minor,deepseek,A_forced,primary_full_sample_no_valid_NA_option,37800,0,0.0,,,,,,,,
negative_minor,deepseek,B_optional,descriptive_only_selected_sample,37800,0,0.0,,,,,,,,
