context,model,condition,sample_type,n_matched_cells,n_both_valid,pct_both_valid,exact_agreement_rate,mean_abs_diff,spearman_r,spearman_p,clustered_mean_shift_ctx_minus_orig,clustered_shift_se,clustered_shift_p,n_persona_clusters
negative_minor,llama,A_forced,primary_full_sample_no_valid_NA_option,1260,1260,100.0,0.8150793650793651,0.18492063492063493,0.7807392958698984,3.558347050451918e-259,-0.1007936507936508,0.012817978156009355,3.7366750190165815e-15,180.0
negative_minor,llama,B_optional,descriptive_only_selected_sample,1260,1260,100.0,0.8317460317460318,0.16904761904761906,0.7741951177410115,3.8288119148922634e-252,0.0071428571428571435,0.01192602517136775,0.5492194035355746,180.0
negative_minor,gemma,A_forced,primary_full_sample_no_valid_NA_option,1260,1260,100.0,0.7603174603174603,0.2706349206349206,0.8944428562653081,0.0,-0.15000000000000002,0.01356593187576186,2.0251812431301136e-28,180.0
negative_minor,gemma,B_optional,descriptive_only_selected_sample,1260,1260,100.0,0.7928571428571428,0.20714285714285716,0.8982790688328286,0.0,-0.1246031746031746,0.013601163411691262,5.131651022698981e-20,180.0
negative_minor,qwen,A_forced,primary_full_sample_no_valid_NA_option,1260,1260,100.0,0.8484126984126984,0.15396825396825398,0.7506883807229386,1.0132069771753806e-228,-0.09841269841269841,0.013187785808651882,8.495239396788765e-14,180.0
negative_minor,qwen,B_optional,descriptive_only_selected_sample,1260,96,7.619047619047619,0.4583333333333333,0.5416666666666666,0.1375228328345058,0.1815001288477627,0.45833333333333337,0.05991906084778584,2.022216033049161e-14,76.0
negative_minor,ministral,A_forced,primary_full_sample_no_valid_NA_option,1260,1260,100.0,0.9071428571428571,0.09285714285714286,0.8172903932194059,1.841958325064371e-303,-0.07063492063492063,0.008384744104530176,3.631644372073129e-17,180.0
negative_minor,ministral,B_optional,descriptive_only_selected_sample,1260,209,16.58730158730159,0.9856459330143541,0.014354066985645933,,,-0.014354066985645932,0.008274205667981956,0.08277677171623793,175.0
negative_minor,deepseek,A_forced,primary_full_sample_no_valid_NA_option,1260,0,0.0,,,,,,,,
negative_minor,deepseek,B_optional,descriptive_only_selected_sample,1260,0,0.0,,,,,,,,
