context,model,n_matched_cells,n_both_valid_numeric,exact_agreement_rate,mean_abs_diff,spearman_r,spearman_p,clustered_mean_shift_ctx_minus_orig,clustered_shift_se,clustered_shift_p,n_persona_clusters
negative_minor,llama,75600,75600,0.7940873015873016,0.20849206349206348,0.748747779572291,0.0,-0.03788359788359787,0.0023767230942352354,3.37448125465485e-57,5400.0
negative_minor,gemma,75600,75598,0.7783406968438319,0.23611735760205296,0.8918538938630115,0.0,-0.15500410063758296,0.002216689655379083,0.0,5400.0
negative_minor,qwen,75600,40109,0.8156772794135979,0.18579371213443366,0.7457249419589543,0.0,-0.10800568450971104,0.002274825960560425,0.0,5400.0
negative_minor,ministral,75600,44050,0.9181384790011351,0.08186152099886493,0.8476013984184931,0.0,-0.06601589103291713,0.001329652233587209,0.0,5400.0
negative_minor,deepseek,75600,0,,,,,,,,
