model,condition_1,condition_2,n_matched,spearman_r,spearman_p,clustered_mean_diff_2_minus_1,clustered_diff_p,is_context_pair
llama,original,health,1260,0.7808011291471699,3.04545311841428e-259,-0.1738095238095238,7.609157299392627e-77,False
llama,original,neutral,1260,0.7656852409081725,2.399685586022784e-243,-0.11507936507936509,1.0478930113552123e-21,False
llama,original,positive,1260,0.808600182938895,4.505978814961497e-292,-0.0880952380952381,2.332082336672399e-17,False
llama,original,negative_minor,1260,0.7807392958698984,3.558347050451918e-259,-0.1007936507936508,3.7366750190165815e-15,False
llama,health,neutral,1260,0.9244121565469863,0.0,0.05873015873015873,7.992356686322895e-14,True
llama,health,positive,1260,0.922099960899219,0.0,0.08571428571428572,1.0326942738746982e-33,True
llama,health,negative_minor,1260,0.9243888348538705,0.0,0.073015873015873,2.2031217102442937e-17,True
llama,neutral,positive,1260,0.9331857424403287,0.0,0.026984126984126982,0.00011837550866249306,True
llama,neutral,negative_minor,1260,0.941398996868069,0.0,0.014285714285714287,0.00827012242616556,True
llama,positive,negative_minor,1260,0.9412060843828456,0.0,-0.0126984126984127,0.08275309589163202,True
gemma,original,health,1260,0.8786103696946137,0.0,-0.18492063492063493,8.267902681724183e-52,False
gemma,original,neutral,1260,0.8788539727018241,0.0,-0.1246031746031746,2.266931887437414e-21,False
gemma,original,positive,1260,0.8588883547164672,0.0,-0.05555555555555555,1.1306468082478017e-05,False
gemma,original,negative_minor,1260,0.8944428562653081,0.0,-0.15,2.025181243130157e-28,False
gemma,health,neutral,1260,0.950530101217304,0.0,0.06031746031746031,4.481995299592395e-12,True
gemma,health,positive,1260,0.9265562419679542,0.0,0.12936507936507938,2.396703126986897e-44,True
gemma,health,negative_minor,1260,0.9530628986630825,0.0,0.03492063492063492,0.00022253049845467367,True
gemma,neutral,positive,1260,0.9582728225698028,0.0,0.06904761904761905,1.8385360222180675e-13,True
gemma,neutral,negative_minor,1260,0.956149979394668,0.0,-0.0253968253968254,0.0074733300252488605,True
gemma,positive,negative_minor,1260,0.9323542031237587,0.0,-0.09444444444444446,1.275118844102503e-23,True
qwen,original,health,1260,0.6864045206466725,3.0945176750335092e-176,-0.15555555555555556,3.217531090911281e-22,False
qwen,original,neutral,1260,0.7652156373725434,7.156284542783105e-243,-0.021428571428571432,0.08664568612857966,False
qwen,original,positive,1260,0.7062382888454021,6.678077853244864e-191,-0.15396825396825398,3.529598507378077e-28,False
qwen,original,negative_minor,1260,0.7506883807229386,1.0132069771753806e-228,-0.09841269841269841,8.495239396788765e-14,False
qwen,health,neutral,1260,0.7756529914959838,1.0894799434570246e-253,0.13412698412698412,3.915521853961867e-30,True
qwen,health,positive,1260,0.8287605823789108,0.0,0.0015873015873015851,0.8651741916726616,True
qwen,health,negative_minor,1260,0.8061169989810449,6.325293928752455e-289,0.05714285714285715,1.5189165258029877e-09,True
qwen,neutral,positive,1260,0.8024651743768478,2.2260578551903022e-284,-0.13253968253968254,3.929965345928616e-36,True
qwen,neutral,negative_minor,1260,0.8253877782649475,0.0,-0.07698412698412699,7.462531300936884e-15,True
qwen,positive,negative_minor,1260,0.8176125533106384,6.783296247931096e-304,0.05555555555555555,7.684399996882156e-10,True
ministral,original,health,1260,0.7656602933420145,2.5432663152881114e-243,-0.09761904761904762,2.4391713323925297e-31,False
ministral,original,neutral,1260,0.8033355074457578,1.873671110977063e-285,0.005555555555555556,0.5475770049948163,False
ministral,original,positive,1260,0.706849678556629,2.2543189261063865e-191,0.0047619047619047615,0.6441548853042078,False
ministral,original,negative_minor,1260,0.8172903932194059,1.841958325064371e-303,-0.07063492063492063,3.631644372073129e-17,False
ministral,health,neutral,1260,0.7746684533145893,1.2090436831067503e-252,0.10317460317460317,4.556519069591621e-54,True
ministral,health,positive,1260,0.7647029009024252,2.352538931411943e-242,0.10238095238095238,1.735623492994536e-59,True
ministral,health,negative_minor,1260,0.9227123686545565,0.0,0.026984126984126985,1.603207188741304e-09,True
ministral,neutral,positive,1260,0.890341537535444,0.0,-0.0007936507936507947,0.8949121286439337,True
ministral,neutral,negative_minor,1260,0.8336593473320859,0.0,-0.07619047619047618,1.2943681631181974e-32,True
ministral,positive,negative_minor,1260,0.7768940154730049,5.153257529391365e-255,-0.07539682539682539,3.465258896522087e-30,True
deepseek,original,health,0,,,,,False
deepseek,original,neutral,0,,,,,False
deepseek,original,positive,0,,,,,False
deepseek,original,negative_minor,0,,,,,False
deepseek,health,neutral,0,,,,,True
deepseek,health,positive,0,,,,,True
deepseek,health,negative_minor,0,,,,,True
deepseek,neutral,positive,0,,,,,True
deepseek,neutral,negative_minor,0,,,,,True
deepseek,positive,negative_minor,0,,,,,True
