model,prompt_type,factor,partial_r2,chi2_cluster,p_cluster,n_rows,n_persona_clusters,dataset_scope,note
ministral,positive,country,0.002137323002938952,6.5466997025077465,0.08783886569749959,1260,180,pilot_180_persona,
ministral,positive,gender,0.1342614054702628,343.358417028608,2.758462502637716e-75,1260,180,pilot_180_persona,
ministral,positive,age,0.009191061731477525,20.129012702752796,4.256380339769522e-05,1260,180,pilot_180_persona,
llama,negative_minor,profession,0.028039555178544447,88.7884102087026,2.3814535238376297e-18,1260,180,pilot_180_persona,
llama,negative_minor,country,0.028818243039268228,114.8027558065065,1.0151945381233406e-24,1260,180,pilot_180_persona,
llama,negative_minor,gender,0.04847278311813892,184.0743542004669,1.0684688256330599e-40,1260,180,pilot_180_persona,
llama,negative_minor,age,0.00015539644022604068,0.44081714413055856,0.802190978173334,1260,180,pilot_180_persona,
gemma,negative_minor,profession,0.024452683319632885,68.62659104075564,4.424491330099688e-14,1260,180,pilot_180_persona,
gemma,negative_minor,country,0.014286150163914376,36.02649462663066,7.392409330597899e-08,1260,180,pilot_180_persona,
gemma,negative_minor,gender,0.05496816383841074,121.48594182767032,4.165459513916293e-27,1260,180,pilot_180_persona,
gemma,negative_minor,age,0.0033147769809820315,7.820945606736888,0.02003102808488088,1260,180,pilot_180_persona,
qwen,negative_minor,profession,0.15877814016386935,618.268680210618,1.7227084433545495e-132,1260,180,pilot_180_persona,
qwen,negative_minor,country,0.010682523812029597,38.53195815565707,2.1807405480205207e-08,1260,180,pilot_180_persona,
qwen,negative_minor,gender,0.11936461011585661,374.80412040741936,4.09561718142023e-82,1260,180,pilot_180_persona,
qwen,negative_minor,age,0.020028032295057455,63.3016400835733,1.79565751794734e-14,1260,180,pilot_180_persona,
ministral,negative_minor,profession,0.04661619012398547,153.5994569340358,3.4457185136943926e-32,1260,180,pilot_180_persona,
ministral,negative_minor,country,0.0010095550819372212,3.434955363025624,0.3292966917637923,1260,180,pilot_180_persona,
ministral,negative_minor,gender,0.11479379766508845,496.29695273089675,1.7001452318421452e-108,1260,180,pilot_180_persona,
ministral,negative_minor,age,0.013315069596922132,35.4658452170163,1.989250899476806e-08,1260,180,pilot_180_persona,
llama,health,profession,0.0077581643886274546,785.9012072911228,1.044619975641294e-146,37800,5400,full_5400_persona,
llama,health,country,0.01626959272418644,1921.0824255435252,0.0,37800,5400,full_5400_persona,
llama,health,gender,0.02818662306400233,3174.1529338382206,0.0,37800,5400,full_5400_persona,
llama,health,age,1.718749464132293e-05,1.7653207799291055,0.4136808939343305,37800,5400,full_5400_persona,
gemma,health,profession,0.03164124969256202,2668.2022151855717,0.0,37800,5400,full_5400_persona,
gemma,health,country,0.008966130764675085,767.5923998998602,1.649572163461546e-150,37800,5400,full_5400_persona,
gemma,health,gender,0.0313248483697223,2334.8889397690377,0.0,37800,5400,full_5400_persona,
gemma,health,age,0.0020498760302195946,170.73179900447312,8.434530314650722e-38,37800,5400,full_5400_persona,
qwen,health,profession,0.11509370283767975,8809.573318167282,0.0,37800,5400,full_5400_persona,
qwen,health,country,0.013488638425286852,979.1346547380203,1.506588005317313e-195,37800,5400,full_5400_persona,
qwen,health,gender,0.12654712899554443,9272.25262964005,0.0,37800,5400,full_5400_persona,
qwen,health,age,0.010307793662503811,692.8454464597296,3.552408457684344e-151,37800,5400,full_5400_persona,
ministral,health,profession,0.07382875500426418,7318.225377644334,0.0,37800,5400,full_5400_persona,
ministral,health,country,0.017363094099177044,1493.9083958089134,8.979724995162659e-306,37800,5400,full_5400_persona,
ministral,health,gender,0.10078626223259327,10329.503757735198,0.0,37800,5400,full_5400_persona,
ministral,health,age,0.01614172199393265,1394.2874609682726,1.7152394520522157e-303,37800,5400,full_5400_persona,
llama,neutral,profession,0.023405867090163075,1924.6028254377884,0.0,37800,5400,full_5400_persona,
llama,neutral,country,0.021179821934846316,1971.9015359236387,0.0,37800,5400,full_5400_persona,
llama,neutral,gender,0.04580350436828544,4251.174899064316,0.0,37800,5400,full_5400_persona,
llama,neutral,age,5.598144908965734e-05,4.678746961344677,0.09638800826715505,37800,5400,full_5400_persona,
gemma,neutral,profession,0.028011328434859865,2349.1005499823095,0.0,37800,5400,full_5400_persona,
gemma,neutral,country,0.01641364691921624,1429.3731123589837,6.36987417254149e-292,37800,5400,full_5400_persona,
gemma,neutral,gender,0.02767189086612875,2164.2663700782186,0.0,37800,5400,full_5400_persona,
gemma,neutral,age,0.0022464721374570464,188.82719716724372,9.924191101346259e-42,37800,5400,full_5400_persona,
qwen,neutral,profession,0.17118985504094247,11636.69009683544,0.0,37800,5400,full_5400_persona,
qwen,neutral,country,0.02577996220537887,1458.0968506502295,4.367110191028807e-298,37800,5400,full_5400_persona,
qwen,neutral,gender,0.09399046932129844,5429.8316886441435,0.0,37800,5400,full_5400_persona,
qwen,neutral,age,0.02862867533806969,1604.3788078310195,0.0,37800,5400,full_5400_persona,
ministral,neutral,profession,0.11129959006835112,9709.319895395909,0.0,37800,5400,full_5400_persona,
ministral,neutral,country,0.017585404544274548,1344.4718769033611,1.0339061222430864e-273,37800,5400,full_5400_persona,
ministral,neutral,gender,0.1309193980585744,11896.152059879561,0.0,37800,5400,full_5400_persona,
ministral,neutral,age,0.018847163429258396,1404.3721060836476,1.1078268697304837e-305,37800,5400,full_5400_persona,
llama,positive,profession,0.009924342066090379,719.2820256451631,9.273144161953575e-133,37800,5400,full_5400_persona,
llama,positive,country,0.020067710894634203,1573.453936900315,0.0,37800,5400,full_5400_persona,
llama,positive,gender,0.05828545897678805,5154.236751114308,0.0,37800,5400,full_5400_persona,
llama,positive,age,5.4571710484784554e-05,4.099630489830836,0.12875869021308758,37800,5400,full_5400_persona,
gemma,positive,profession,0.029553988094104814,2956.0992554084432,0.0,37800,5400,full_5400_persona,
gemma,positive,country,0.00925914757023567,811.297715040086,8.526630200786239e-160,37800,5400,full_5400_persona,
gemma,positive,gender,0.03858523482421643,3130.126080779513,0.0,37800,5400,full_5400_persona,
