context,model,shift_pp,se_pp,p_value,n_clusters
neutral,qwen,-3.015873015873016,0.8115391161700437,0.00020221061060396935,180
neutral,ministral,-38.730158730158735,1.2807679225521558,7.10627700621439e-201,180
