context,model,sample,denominator,n_orig,n_ctx,orig_rate_pct,ctx_rate_pct,shift_pp_ctx_minus_orig
negative_minor,qwen,full_5400_personas,all_rows,75600,75600,44.985449735449734,45.46560846560846,0.48015873015872756
negative_minor,qwen,full_5400_personas,condition_B_only,37800,37800,89.97089947089947,90.93121693121692,0.9603174603174551
negative_minor,qwen,pilot_180_personas,all_rows,2520,2520,44.08730158730159,43.96825396825397,-0.1190476190476204
negative_minor,qwen,pilot_180_personas,condition_B_only,1260,1260,88.17460317460318,87.93650793650794,-0.2380952380952408
negative_minor,ministral,full_5400_personas,all_rows,75600,75600,41.732804232804234,14.899470899470899,-26.833333333333336
negative_minor,ministral,full_5400_personas,condition_B_only,37800,37800,83.46560846560847,29.798941798941797,-53.66666666666667
negative_minor,ministral,pilot_180_personas,all_rows,2520,2520,41.70634920634921,14.563492063492065,-27.142857142857146
negative_minor,ministral,pilot_180_personas,condition_B_only,1260,1260,83.41269841269842,29.12698412698413,-54.28571428571429
