context,model,n_matched_cells,n_both_valid_numeric,exact_agreement_rate,mean_abs_diff,spearman_r,spearman_p,clustered_mean_shift_ctx_minus_orig,clustered_shift_se,clustered_shift_p,n_persona_clusters
health,llama,2520,2520,0.7968253968253968,0.20396825396825397,0.789040942881233,0.0,-0.10396825396825396,0.008596115579137685,1.1252306308723414e-33,180.0
health,gemma,2520,2520,0.7412698412698413,0.28809523809523807,0.8733219378004587,0.0,-0.1595238095238095,0.010424003610780682,7.244568652408246e-53,180.0
health,qwen,2520,1340,0.7850746268656716,0.21791044776119403,0.713296028045327,8.751478929681466e-209,-0.12686567164179108,0.01554659354344033,3.3405037219790143e-16,180.0
health,ministral,2520,1469,0.8883594281824371,0.11164057181756297,0.8017848692240764,0.0,-0.09257998638529612,0.007706206785989654,3.0110013336608995e-33,180.0
health,deepseek,2520,0,,,,,,,,
