context,model,n_matched_cells,n_both_valid_numeric,exact_agreement_rate,mean_abs_diff,spearman_r,spearman_p,clustered_mean_shift_ctx_minus_orig,clustered_shift_se,clustered_shift_p,n_persona_clusters
neutral,llama,75600,75600,0.8027248677248677,0.20074074074074075,0.7682632602164507,0.0,-0.045105820105820094,0.0020455688190398062,9.4469277315071e-108,5400.0
neutral,gemma,75600,75598,0.7447286965263631,0.2758935421571999,0.8745573057065429,0.0,-0.118402603243472,0.002102843608365192,0.0,5400.0
neutral,qwen,75600,40729,0.8269046625254732,0.17491222470475581,0.7647561431031421,0.0,-0.03717253062928137,0.0025229644599621607,3.91824499884104e-49,5400.0
neutral,ministral,75600,44050,0.9124631101021566,0.08753688989784336,0.8317905901664331,0.0,0.0022701475595913734,0.0015478080083331082,0.14246162965534306,5400.0
neutral,deepseek,75600,0,,,,,,,,
