context,model,sample,denominator,n_orig,n_ctx,orig_rate_pct,ctx_rate_pct,shift_pp_ctx_minus_orig
positive,qwen,full_5400_personas,all_rows,75600,75600,44.985449735449734,47.33201058201058,2.3465608465608483
positive,qwen,full_5400_personas,condition_B_only,37800,37800,89.97089947089947,94.66402116402116,4.693121693121697
positive,qwen,pilot_180_personas,all_rows,2520,2520,44.08730158730159,46.666666666666664,2.5793650793650755
positive,qwen,pilot_180_personas,condition_B_only,1260,1260,88.17460317460318,93.33333333333333,5.158730158730151
positive,ministral,full_5400_personas,all_rows,75600,75600,41.732804232804234,18.625661375661377,-23.107142857142858
positive,ministral,full_5400_personas,condition_B_only,37800,37800,83.46560846560847,37.25132275132275,-46.214285714285715
positive,ministral,pilot_180_personas,all_rows,2520,2520,41.70634920634921,18.88888888888889,-22.81746031746032
positive,ministral,pilot_180_personas,condition_B_only,1260,1260,83.41269841269842,37.77777777777778,-45.63492063492064
