condition,n,strict_valid_n,strict_valid_pct,salvageable_numeric_n,salvageable_numeric_pct,compact_matches_n,compact_matches_pct,genuinely_new_n,genuinely_new_pct,true_total_pct
original,75600,63,0.08333333333333333,23184,30.666666666666668,8599,11.374338624338625,0,0.0,30.75
health,75600,0,0.0,0,0.0,11234,14.859788359788359,11234,14.859788359788359,14.859788359788359
neutral,75600,0,0.0,110,0.1455026455026455,51770,68.47883597883597,51770,68.47883597883597,68.62433862433862
positive,75600,0,0.0,25,0.03306878306878307,68386,90.45767195767196,68381,90.4510582010582,90.48412698412699
negative_minor,75600,204,0.2698412698412698,55,0.07275132275132275,31032,41.04761904761905,31032,41.04761904761905,41.39021164021164
