term,partial_r2_ols,wald_p_raw,n_params,raw_p_family,p_bh,significant_bh_0.05,r2_marginal_model,r2_conditional_model,icc_persona
topic,0.6738127119593965,0.0,24,primary_model_terms,0.0,True,0.6981004768064458,0.6999871967728605,0.0062494963438714845
prompt_type,0.020990887390949845,0.0,16,primary_model_terms,0.0,True,0.6981004768064458,0.6999871967728605,0.0062494963438714845
profession,0.033881128438560136,0.0,29,primary_model_terms,0.0,True,0.6981004768064458,0.6999871967728605,0.0062494963438714845
country,0.008556293266947087,0.0,19,primary_model_terms,0.0,True,0.6981004768064458,0.6999871967728605,0.0062494963438714845
gender,0.03384410491360603,0.0,2,primary_model_terms,0.0,True,0.6981004768064458,0.6999871967728605,0.0062494963438714845
age,0.003401359718486125,1.6879538516492936e-300,2,primary_model_terms,2.5815764789930372e-300,True,0.6981004768064458,0.6999871967728605,0.0062494963438714845
model,0.41165964017690193,0.0,33,primary_model_terms,0.0,True,0.6981004768064458,0.6999871967728605,0.0062494963438714845
topic:model,0.3551851648903683,0.0,18,primary_model_terms,0.0,True,0.6981004768064458,0.6999871967728605,0.0062494963438714845
prompt_type:model,0.005350237653258237,0.0,12,primary_model_terms,0.0,True,0.6981004768064458,0.6999871967728605,0.0062494963438714845
