context,gender,n,true_total_pct,new_pct,digit4_pct_of_new
positive,female,25200,90.09920634920636,90.01190476190476,99.8721509500507
positive,male,25200,89.06349206349206,89.0515873015873,100.0
positive,neutral,25200,93.23015873015873,93.23015873015873,100.0
negative_minor,female,25200,47.84126984126984,47.638888888888886,99.94169096209913
negative_minor,male,25200,40.07142857142857,40.039682539682545,99.65312190287413
negative_minor,neutral,25200,36.257936507936506,35.464285714285715,99.74264294505987
