condition,digit,n,pct_of_new
health,4,11234,100.0
neutral,2,3,0.005815193161332843
neutral,3,46,0.08916629514043692
neutral,4,51531,99.88757293221423
neutral,5,9,0.017445579483998528
positive,3,29,0.04226296307091434
positive,4,68589,99.95773703692909
negative_minor,1,2,0.006444960041247744
negative_minor,3,40,0.12889920082495487
negative_minor,4,30967,99.79053879865945
negative_minor,5,23,0.07411704047434906
