context,n,clusters,shift_pp,cluster_se_pp,cluster_p
health,37800,5400,-34.95238095238091,0.21209987019782228,0.0
neutral,37800,5400,-41.45767195767191,0.18631732781150578,0.0
positive,37800,5400,-46.24338624338619,0.15213837057769156,0.0
negative_minor,37800,5400,-53.66666666666661,0.1524065465353762,0.0
