condition,n,strict_n,strict_pct,salvage_n,salvage_pct,compact_match_n,genuinely_new_n,genuinely_new_pct,true_total_n,true_total_pct,zero_space_gt5_pct
original,75600,63,0.08333333333333334,23184,30.666666666666664,8599,0,0.0,23247,30.75,0.0
health,75600,0,0.0,0,0.0,11234,11234,14.859788359788359,11234,14.859788359788359,15.70238095238095
neutral,75600,0,0.0,92,0.1216931216931217,51589,51589,68.239417989418,51681,68.3611111111111,81.31878306878308
positive,75600,0,0.0,25,0.03306878306878307,68623,68618,90.76455026455027,68643,90.79761904761905,97.28835978835978
negative_minor,75600,204,0.2698412698412699,55,0.07275132275132275,31032,31032,41.04761904761905,31291,41.39021164021164,73.3452380952381
