condition,original_eq_health,original_eq_context,bytes,sha256
A_forced,True,True,200,0997307aa1821f1296fc8906f2fac3ea6602fe8563f7b8432633ef9279948695
B_optional,True,True,363,1dfe9400ff5c4d7f8b3a9bb77ef6be936e723cb96fc03a691d3917b1a40973bd
