condition,n,abstentions,rate_pct
original,37800,31550,83.46560846560847
health,37800,18338,48.51322751322751
neutral,37800,15799,41.7962962962963
positive,37800,14081,37.25132275132275
negative_minor,37800,11264,29.798941798941797
