profession,coef_original,coef_positive,rank_original,rank_positive
computer programmer,0.0,0.0,3,4
farmer,-0.0039682539682542785,-0.035714285714286136,5,5
lawyer,0.05555555555555549,0.00793650793650773,2,2
registered nurse,0.08730158730158777,0.019841269841270336,1,1
truck driver,-0.003968253968253602,2.5847379792054426e-16,4,3
