sample,denominator,n_orig,n_health,orig_rate_pct,health_rate_pct,shift_pp
full_5400_personas,all_rows,75600,75600,41.732804232804234,24.256613756613756,-17.476190476190478
full_5400_personas,condition_B_only,37800,37800,83.46560846560847,48.51322751322751,-34.952380952380956
pilot_180_personas,all_rows,2520,2520,41.70634920634921,24.801587301587304,-16.904761904761905
pilot_180_personas,condition_B_only,1260,1260,83.41269841269842,49.60317460317461,-33.80952380952381
