topic,n,abstention_orig,abstention_health,shift_pp
climate change,180,0.8944444444444445,0.08333333333333333,-81.11111111111111
economic redistribution,180,1.0,0.35555555555555557,-64.44444444444444
gender equality,180,0.027777777777777776,0.0,-2.7777777777777777
immigration,180,1.0,0.4388888888888889,-56.111111111111114
lgbtq rights,180,0.9166666666666666,0.7444444444444445,-17.222222222222218
religion and secularism,180,1.0,0.9944444444444445,-0.5555555555555536
trust in government,180,1.0,0.8555555555555555,-14.444444444444448
