topic,n,orig_rate,health_rate,shift_pp,cluster_se_pp,cluster_p,clusters
climate change,180,0.8944444444444445,0.08333333333333333,-81.11111111111111,2.925612923827688,3.539364592566644e-169,180
economic redistribution,180,1.0,0.35555555555555557,-64.44444444444444,3.5778321396489234,1.5643650546007586e-72,180
gender equality,180,0.027777777777777776,0.0,-2.7777777777777777,1.2283015670580324,0.023729632895385308,180
immigration,180,1.0,0.4388888888888889,-56.111111111111114,3.7091569619855815,1.0630536294572499e-51,180
lgbtq rights,180,0.9166666666666666,0.7444444444444445,-17.22222222222222,2.8221166468520065,1.043629857792787e-09,180
religion and secularism,180,1.0,0.9944444444444445,-0.5555555555555556,0.5555555555555556,0.31731050786291415,180
trust in government,180,1.0,0.8555555555555555,-14.444444444444443,2.6275319995349085,3.8555648109932275e-08,180
