model,factor,partial_pseudo_r2,lr_stat,df,p,rank
ministral,topic,0.9573864594960647,36882.141217216405,6,0.0,1.0
ministral,profession,0.0629451147555171,2424.8834818165888,29,0.0,2.0
ministral,gender,0.04891918117624387,1884.5515627226578,2,0.0,3.0
ministral,country,0.037184179039508436,1432.4749726492719,19,0.0,4.0
ministral,age,0.030310882793880226,1167.6896498106162,2,0.0,5.0
