model_a,model_b,n,spearman_r,spearman_p,weighted_kappa,flagged_too_sparse
deepseek,llama,63,-0.6673531522485799,2.3295164675956236e-09,-0.3153846153846154,True
deepseek,gemma,63,-0.36091058180275,0.003661912495649446,-0.08340875861588803,True
deepseek,qwen,63,-0.08799225968197577,0.49286251575257956,-0.006754530477759202,True
deepseek,ministral,63,-0.34607808820289715,0.005464105373691048,-0.0789808917197452,True
