model,factor,partial_pseudo_r2,lr_stat,df,p,rank
qwen,topic,0.8858317564881634,28299.790524761636,6,0.0,1.0
qwen,profession,0.19182007580938834,6128.102683257239,29,0.0,2.0
qwen,gender,0.062148316200905857,1985.4609152023404,2,0.0,3.0
qwen,country,0.046691381092607356,1491.6560560789294,19,0.0,4.0
qwen,age,0.004287260513065722,136.96570884503308,2,0.0,5.0
