term,coef_hc3,se_hc3,p_hc3,ci_low_hc3,ci_high_hc3,coef_cluster,se_cluster,p_cluster,ci_low_cluster,ci_high_cluster,coef_mixedlm,se_mixedlm,p_mixedlm,ci_low_mixedlm,ci_high_mixedlm,mixedlm_status,coef_cluster_modelpersona,se_cluster_modelpersona,p_cluster_modelpersona,ci_low_cluster_modelpersona,ci_high_cluster_modelpersona,p_hc3_bh_adj,p_cluster_bh_adj,p_cluster_modelpersona_bh_adj
"C(country)[T.China]:C(model, Treatment(reference=""llama""))[T.gemma]",0.0126984126983677,0.017457518408976,0.4669874862031129,-0.0215176946426703,0.0469145200394058,0.0126984126983677,0.0126275040223183,0.3146006057650317,-0.0120510404000108,0.0374478657967464,,,,,,"not_attempted (pooled model, see docstring)",0.0126984126983677,0.0117157759816328,0.2784211337465437,-0.010264086276572,0.0356609116733075,0.5273160131288739,0.353551156954988,0.31590090175088614
"C(country)[T.China]:C(model, Treatment(reference=""llama""))[T.ministral]",-0.0317460317460689,0.0139715417398325,0.0230748887025866,-0.0591297503646389,-0.004362313127499,-0.0317460317460689,0.0098884162675194,0.0013253824653797,-0.051126971494547,-0.0123650919975909,,,,,,"not_attempted (pooled model, see docstring)",-0.0317460317460689,0.0097177158588366,0.001087626826561,-0.0507924048413824,-0.0126996586507554,0.03241472460601451,0.0018508299516544924,0.001509881947461153
"C(country)[T.China]:C(model, Treatment(reference=""llama""))[T.qwen]",0.0142857142856713,0.0154010221197283,0.3536243242169682,-0.0158997343941009,0.0444711629654436,0.0142857142856713,0.0117579662993042,0.2243730580323594,-0.0087594761924007,0.0373309047637434,,,,,,"not_attempted (pooled model, see docstring)",0.0142857142856713,0.0114048632925611,0.2103518727655841,-0.0080674070163514,0.036638835587694,0.41314525007526975,0.25580696471322134,0.24098564064406722
C(country)[T.Egypt],-0.1047619047618609,0.0146158892531412,7.628362210591925e-13,-0.1334085213000438,-0.0761152882236779,-0.1047619047618609,0.008259967773971,7.338203350827988e-37,-0.1209511441123056,-0.0885726654114161,,,,,,"not_attempted (pooled model, see docstring)",-0.1047619047618609,0.0082593941186195,7.256172376649532e-37,-0.1209500197684772,-0.0885737897552445,3.1584096170170074e-12,4.1233714066557264e-36,3.982457397416953e-36
"C(country)[T.Egypt]:C(model, Treatment(reference=""llama""))[T.gemma]",-0.0735449735450226,0.0214548994212702,0.0006082983171562,-0.1155958037026415,-0.0314941433874036,-0.0735449735450226,0.0112745296359346,6.886527563341642e-11,-0.0956426455740839,-0.0514473015159612,,,,,,"not_attempted (pooled model, see docstring)",-0.0735449735450226,0.0117205527858029,3.4992107583352607e-10,-0.096516834884097,-0.0505731122059481,0.0010478715536413373,1.4774731863169343e-10,7.180989034496709e-10
"C(country)[T.Egypt]:C(model, Treatment(reference=""llama""))[T.ministral]",-0.0497354497354711,0.0171561180143058,0.0037436438616606,-0.0833608231580293,-0.0161100763129128,-0.0497354497354711,0.0113918189036076,1.2660509242255726e-05,-0.0720630045049446,-0.0274078949659975,,,,,,"not_attempted (pooled model, see docstring)",-0.0497354497354711,0.0105860070380904,2.624314087170147e-06,-0.0704836422702159,-0.0289872572007262,0.005946247786099194,2.005288712196209e-05,4.392468968596842e-06
"C(country)[T.Egypt]:C(model, Treatment(reference=""llama""))[T.qwen]",-0.0317460317460537,0.018275608104401,0.0823746113983177,-0.067565565426248,0.0040735019341406,-0.0317460317460537,0.013576219175832,0.0193687951890824,-0.0583549323769065,-0.0051371311152008,,,,,,"not_attempted (pooled model, see docstring)",-0.0317460317460537,0.0119832749225862,0.0080683767896747,-0.0552328190111647,-0.0082592444809427,0.10800226827779433,0.0251155805748541,0.01069739844024286
C(country)[T.France],0.0328042328042603,0.0121962172258464,0.0071515095560301,0.0089000862939741,0.0567083793145464,0.0328042328042603,0.0070395956800006,3.1627116208383733e-06,0.0190068788057353,0.0466015868027853,,,,,,"not_attempted (pooled model, see docstring)",0.0328042328042603,0.0070391067795786,3.1577423076630423e-06,0.0190078370329544,0.0466006285755661,0.010818950353994253,5.33142816084183e-06,5.211378913345999e-06
"C(country)[T.France]:C(model, Treatment(reference=""llama""))[T.gemma]",-0.0063492063492223,0.0182305452564193,0.7276351829074515,-0.0420804184703318,0.0293820057718872,-0.0063492063492223,0.0109688804007553,0.5626983922144526,-0.0278478168854301,0.0151494041869855,,,,,,"not_attempted (pooled model, see docstring)",-0.0063492063492223,0.0109116253148871,0.5606506113035273,-0.0277355989791966,0.015037186280752,0.7735220863340475,0.6008905907810445,0.5987038202155315
"C(country)[T.France]:C(model, Treatment(reference=""llama""))[T.ministral]",-0.0698412698412951,0.0149818886750882,3.1358781930475536e-06,-0.0992052320648565,-0.0404773076177338,-0.0698412698412951,0.0100202774551544,3.1695537966101805e-12,-0.0894806527684966,-0.0502018869140937,,,,,,"not_attempted (pooled model, see docstring)",-0.0698412698412951,0.0097569583762541,8.180372709802076e-13,-0.0889645568574097,-0.0507179828251806,7.5517066689716595e-06,7.711491711340233e-12,2.053795701609883e-12
