model,term,coef,se_cluster,p_cluster,ci_low,ci_high
gemma,C(gender)[T.male],-0.6114961478921935,0.02309795391474135,1.92965028092084e-154,-0.6567673056816525,-0.5662249901027345
gemma,C(gender)[T.neutral],0.22659428171620802,0.018016614288430967,2.8269200106205643e-36,0.1912823665875336,0.2619061968448825
gemma,C(country)[T.Brazil],0.18421039658703245,0.0460321325445807,6.286814908810794e-05,0.09398907466808015,0.27443171850598475
gemma,C(country)[T.Canada],0.3217142707406854,0.05199974191485537,6.138080658185721e-10,0.21979664938219104,0.42363189209917984
gemma,C(country)[T.China],-0.39452558402850957,0.045989501476115593,9.603395866834666e-18,-0.4846633505886478,-0.30438781746837135
gemma,C(country)[T.Egypt],-0.8475825403400591,0.04267430253351252,8.737227780074834e-88,-0.93122263637111,-0.7639424443090082
gemma,C(country)[T.France],0.1318753987097064,0.0410999983724891,0.0013336097834145768,0.051320882134972934,0.21242991528443989
gemma,C(country)[T.Germany],-0.28397520016022676,0.054837809281007066,2.2372943986572636e-07,-0.39145533134207694,-0.17649506897837658
gemma,C(country)[T.India],-0.028847683574786256,0.049631799331407475,0.5610828327231687,-0.12612422275226404,0.06842885560269153
gemma,C(country)[T.Italy],-0.15964022096312538,0.04486183673796883,0.00037299857378433795,-0.24756780524986016,-0.07171263667639062
gemma,C(country)[T.Japan],-0.5360615081387012,0.04378906842974135,1.8562963326750052e-34,-0.6218865051775542,-0.4502365110998483
gemma,C(country)[T.Kenya],-0.33915582060682686,0.05584115094227012,1.2508791886812388e-09,-0.4486024653089412,-0.22970917590471251
gemma,C(country)[T.Mexico],0.24015738938398165,0.04456977465189949,7.11088571191837e-08,0.15280223626719242,0.3275125425007709
gemma,C(country)[T.Morocco],-0.5562100234849133,0.0473669825901417,7.710876448722079e-32,-0.6490476034179269,-0.4633724435518998
gemma,C(country)[T.Nigeria],-0.5867830843709554,0.04735178875998557,2.887724370038493e-35,-0.6795908849440757,-0.4939752837978351
gemma,C(country)[T.Pakistan],-0.7826563977232195,0.047757699265105986,2.3272647796986342e-60,-0.8762597682673222,-0.6890530271791168
gemma,C(country)[T.Poland],-0.9462442648893272,0.05298091861052577,2.4122630319892844e-71,-1.0500849572338056,-0.8424035725448489
gemma,C(country)[T.South Africa],-0.22652219527152392,0.04198899698730909,6.860033608337456e-08,-0.30881911711361054,-0.14422527342943728
gemma,C(country)[T.South Korea],-0.6505452880745998,0.044705083359853515,5.677742705364088e-48,-0.7381656413857736,-0.562924934763426
gemma,C(country)[T.Turkey],-0.6695401229282899,0.04947876111946009,1.014118256686769e-41,-0.7665167127220924,-0.5725635331344874
gemma,C(country)[T.USA],-1.0579879625608342,0.08125825324173815,9.408739006830159e-39,-1.217251212361276,-0.8987247127603923
gemma,C(profession)[T.administrative assistant],0.3187032865963497,0.06414162716697201,6.738817479683274e-07,0.19298800743928868,0.44441856575341077
gemma,C(profession)[T.architect],0.5314142342030685,0.06070437107303736,2.056755480774545e-18,0.41243585319576026,0.6503926152103768
gemma,C(profession)[T.bank teller],0.17890800247524313,0.06731137237251923,0.007862538732601418,0.04698013687514102,0.31083586807534525
gemma,C(profession)[T.business manager],0.2174651779530197,0.06215672465682211,0.00046760436790634964,0.09564023622867562,0.3392901196773638
gemma,C(profession)[T.cashier],0.1158429950827826,0.0664037716305551,0.08106770304838651,-0.014306005750727949,0.24599199591629317
gemma,C(profession)[T.chef],0.7110678271181503,0.060661664567943564,9.848008113915985e-32,0.5921731493227315,0.8299625049135692
gemma,C(profession)[T.civil engineer],0.4251228021007518,0.06605448136243762,1.2270999526739677e-10,0.2956583976129018,0.5545872065886018
gemma,C(profession)[T.computer programmer],0.2191515609846528,0.06056642507003048,0.00029646765288356104,0.10044354917504923,0.3378595727942564
gemma,C(profession)[T.construction worker],-0.016297151868654852,0.07827309655740956,0.8350658942406608,-0.1697096020796037,0.137115298342294
gemma,C(profession)[T.doctor],0.6458169034814563,0.05932211344140651,1.3351347418954029e-27,0.5295476976495,0.7620861093134125
gemma,C(profession)[T.electrician],0.18828966390603022,0.06646661031608418,0.004613562236262869,0.05801750151204679,0.3185618263000136
gemma,C(profession)[T.elementary school teacher],0.8580625560114764,0.06414213960017374,8.183590501304148e-41,0.7323462725037955,0.9837788395191573
gemma,C(profession)[T.farmer],0.24241340463346714,0.08993175881348389,0.007027756822176888,0.06615039629269612,0.4186764129742382
gemma,C(profession)[T.flight attendant],0.8735525951403978,0.06526523126583439,7.434189290381846e-41,0.745635092416685,1.0014700978641107
gemma,C(profession)[T.hairdresser],0.5748172617113804,0.06381842172908488,2.1162683355671442e-19,0.4497354535721856,0.6998990698505752
gemma,C(profession)[T.janitor],-0.0656517920950326,0.06977578175922022,0.34675787752110543,-0.2024098113362311,0.07110622714616589
gemma,C(profession)[T.journalist],0.5318762599080332,0.06127301633150956,3.942679297770909e-18,0.41178335467413996,0.6519691651419265
gemma,C(profession)[T.lawyer],0.3201698178069311,0.058259887330610584,3.895061579731199e-08,0.20598253689557297,0.4343570987182892
gemma,C(profession)[T.mechanic],0.02950484809693226,0.07189560794428712,0.6815238638956109,-0.1114079541204823,0.17041765031434683
gemma,C(profession)[T.paramedic],0.5724993566686121,0.05730959239308069,1.692796918495393e-23,0.46017461960950323,0.6848240937277209
gemma,C(profession)[T.pharmacist],0.38131401249666186,0.06129301258200816,4.934733787365646e-10,0.2611819153319655,0.5014461096613583
gemma,C(profession)[T.plumber],0.21638189389253232,0.06851990062371023,0.0015888699257540896,0.08208535644579668,0.35067843133926796
gemma,C(profession)[T.police officer],-0.3196060956871259,0.07213805183663735,9.40241733801185e-06,-0.46099407920181856,-0.1782181121724332
gemma,C(profession)[T.real estate agent],0.040497377720770854,0.06951682285111768,0.5601928578918787,-0.09575309138707083,0.17674784682861255
gemma,C(profession)[T.registered nurse],0.8024735665138366,0.06298484554021996,3.5104736482622715e-37,0.6790255376831873,0.9259215953444859
gemma,C(profession)[T.social worker],0.7445068954820772,0.06105069601134186,3.309257696442398e-34,0.624849730068744,0.8641640608954103
gemma,C(profession)[T.truck driver],-0.28133933406678774,0.08372773963736278,0.00077894878759963,-0.4454426882629655,-0.11723597987060996
gemma,C(profession)[T.veterinarian],0.4708879465848092,0.058989189761019696,1.432660999729981e-15,0.35527125917601166,0.5865046339936067
gemma,C(profession)[T.waiter],0.19937601838164717,0.06417625277019982,0.0018919173605090069,0.07359287428931666,0.3251591624739777
gemma,C(age)[T.45],-0.09108234177569986,0.02008587404040045,5.769999556611505e-06,-0.13044993149289277,-0.05171475205850696
gemma,C(age)[T.65],-0.3116184454736803,0.0214997543048732,1.3212372973347628e-47,-0.35375718958769176,-0.2694797013596688
gemma,C(topic)[T.economic redistribution],-1.1953390232722163,0.02665586616393267,0.0,-1.2475835609302441,-1.1430944856141885
gemma,C(topic)[T.gender equality],5.300898334244955,0.06889001601326614,0.0,5.165876383964566,5.435920284525345
gemma,C(topic)[T.immigration],0.149061475798803,0.02501373214659373,2.534978516000333e-09,0.10003546167254751,0.19808748992505848
gemma,C(topic)[T.lgbtq rights],-0.4811544105134222,0.06904654706180825,3.202210444665453e-12,-0.6164831560114163,-0.34582566501542816
