model,factor,partial_pseudo_r2,lr_stat,df,p,rank
gemma,topic,0.98206238796491,48867.670692383144,6,0.0,1.0
gemma,country,0.020043406249651143,997.3649211750526,19,0.0,2.0
gemma,gender,0.015448039567424287,768.6983227085657,2,0.0,3.0
gemma,profession,0.012461560109194563,620.0903559613944,29,0.0,4.0
gemma,age,0.0021905499922736317,109.00231692964007,2,0.0,5.0
