model,factor,partial_pseudo_r2,lr_stat,df,p,rank
llama,topic,0.951908354685556,36908.89667264979,6,0.0,1.0
llama,gender,0.12862757793635773,4987.351944058184,2,0.0,2.0
llama,profession,0.022406996090810184,868.7995009071747,29,0.0,3.0
llama,country,0.01884922164425798,730.8518415699837,19,0.0,4.0
llama,age,0.009197812152475544,356.6321239635545,2,0.0,5.0
