scope,n,none,salvageable_numeric,explicit_refusal,other_malformed,technical_failure
overall,75600,0.08333333333333333,30.666666666666668,41.52910052910053,27.72089947089947,0.0
A_forced,37800,0.16666666666666666,4.417989417989418,60.613756613756614,34.801587301587304,0.0
B_optional,37800,0.0,56.91534391534392,22.444444444444443,20.64021164021164,0.0
