profession,coef_ols,coef_ordinal,model
administrative assistant,-0.0396825396825382,-0.35538369891024835,qwen
architect,0.12460317460317884,1.1729144179502262,qwen
bank teller,-0.04682539682539581,-0.4285375507456699,qwen
business manager,0.08333333333333229,0.8270363166535215,qwen
cashier,-0.1555555555555568,-1.6091177690490814,qwen
chef,0.05079365079365206,0.5284242415091505,qwen
civil engineer,0.09523809523809842,0.9298595308054217,qwen
computer programmer,0.04206349206349221,0.4482276519506268,qwen
construction worker,-0.13015873015872598,-1.3194141079092054,qwen
doctor,0.27936507936507293,2.3039160225230813,qwen
electrician,-0.0595238095238058,-0.5580088857881818,qwen
elementary school teacher,0.1476190476190498,1.3597534858498936,qwen
farmer,-0.0920634920634911,-0.895428757832311,qwen
flight attendant,0.06428571428571496,0.6523561585827132,qwen
hairdresser,-0.08253968253968196,-0.8146529054543031,qwen
janitor,-0.23015873015872929,-2.450146370484407,qwen
journalist,0.18571428571428572,1.6496233790060075,qwen
lawyer,0.27539682539682336,2.2815669461295434,qwen
mechanic,-0.12460317460317347,-1.261251272230531,qwen
paramedic,0.09523809523809734,0.9274726735458887,qwen
pharmacist,0.060317460317462226,0.6175627175627912,qwen
plumber,-0.11349206349206165,-1.136984728051708,qwen
police officer,0.2507936507936508,2.144853871986905,qwen
real estate agent,0.0023809523809536944,0.07086275018807432,qwen
registered nurse,0.15158730158730158,1.3904674300193218,qwen
social worker,0.21746031746031955,1.8815995632183722,qwen
truck driver,-0.23412698412698418,-2.49899843936456,qwen
veterinarian,0.08333333333333287,0.8181757759193972,qwen
waiter,-0.09999999999999952,-0.997351274493863,qwen
