model,condition,country,mean_rating,sd_rating,n_answered,n_total,pct_answered
gemma,B_optional,USA,3.5116402116402115,0.9255630582363322,1890,1890,100.0
llama,A_forced,Argentina,3.7587301587301587,0.6910074095196749,1890,1890,100.0
llama,A_forced,Brazil,3.801058201058201,0.5826128527208925,1890,1890,100.0
llama,A_forced,Canada,3.8174603174603177,0.7061792638834098,1890,1890,100.0
llama,A_forced,China,3.6677248677248677,0.6423105529595527,1890,1890,100.0
llama,A_forced,Egypt,3.653968253968254,0.7746975495813082,1890,1890,100.0
llama,A_forced,France,3.7915343915343915,0.642530297166105,1890,1890,100.0
llama,A_forced,Germany,3.787301587301587,0.6019622220089121,1890,1890,100.0
llama,A_forced,India,3.8,0.6019203431713847,1890,1890,100.0
llama,A_forced,Italy,3.837037037037037,0.5404777053962452,1890,1890,100.0
llama,A_forced,Japan,3.770899470899471,0.5345646650320537,1890,1890,100.0
llama,A_forced,Kenya,3.7693121693121694,0.5872386078427432,1890,1890,100.0
llama,A_forced,Mexico,3.684126984126984,0.7137846436301113,1890,1890,100.0
llama,A_forced,Morocco,3.755026455026455,0.5953664603998147,1890,1890,100.0
llama,A_forced,Nigeria,3.738095238095238,0.604971963114973,1890,1890,100.0
llama,A_forced,Pakistan,3.6984126984126986,0.6887491973903828,1890,1890,100.0
llama,A_forced,Poland,3.7058201058201057,0.6756899416250987,1890,1890,100.0
llama,A_forced,South Africa,3.732275132275132,0.6598727827611266,1890,1890,100.0
llama,A_forced,South Korea,3.7423280423280425,0.5881815372026437,1890,1890,100.0
llama,A_forced,Turkey,3.676719576719577,0.7067232378938554,1890,1890,100.0
llama,A_forced,USA,3.778835978835979,0.6792521652903157,1890,1890,100.0
llama,B_optional,Argentina,3.5253968253968253,0.7445872982904806,1890,1890,100.0
llama,B_optional,Brazil,3.6312169312169313,0.5811391494203342,1890,1890,100.0
llama,B_optional,Canada,3.6042328042328045,0.6376099070979891,1890,1890,100.0
llama,B_optional,China,3.494708994708995,0.7392952626752204,1890,1890,100.0
llama,B_optional,Egypt,3.5,0.8220428014344225,1890,1890,100.0
llama,B_optional,France,3.6306878306878305,0.6148937190850992,1890,1890,100.0
llama,B_optional,Germany,3.6306878306878305,0.5839842823599495,1890,1890,100.0
llama,B_optional,India,3.6031746031746033,0.6842325197013914,1890,1890,100.0
llama,B_optional,Italy,3.6925925925925926,0.5268825665245674,1890,1890,100.0
llama,B_optional,Japan,3.6084656084656084,0.569316247863888,1890,1890,100.0
llama,B_optional,Kenya,3.5116402116402115,0.6849528140784471,1890,1890,100.0
llama,B_optional,Mexico,3.4793650793650794,0.7969287386933955,1890,1890,100.0
llama,B_optional,Morocco,3.5179894179894178,0.7842711174718606,1890,1890,100.0
llama,B_optional,Nigeria,3.455026455026455,0.7979185630000852,1890,1890,100.0
llama,B_optional,Pakistan,3.458730158730159,0.8338018295359564,1890,1890,100.0
llama,B_optional,Poland,3.505820105820106,0.7421500174522908,1890,1890,100.0
llama,B_optional,South Africa,3.526984126984127,0.7294470989424366,1890,1890,100.0
llama,B_optional,South Korea,3.5481481481481483,0.6794723291782055,1890,1890,100.0
llama,B_optional,Turkey,3.462962962962963,0.8095209673726095,1890,1890,100.0
llama,B_optional,USA,3.591005291005291,0.6503031381527485,1890,1890,100.0
ministral,A_forced,Argentina,3.448148148148148,0.5037805820109442,1890,1890,100.0
ministral,A_forced,Brazil,3.4153439153439153,0.4971890421129123,1890,1890,100.0
