model,topic,term,coef,se_hc3,p_hc3,se_cluster,p_cluster,ci_low_cluster,ci_high_cluster
llama,climate change,C(profession)[T.administrative assistant],2.220446049250313e-15,0.0006472587670301953,0.9999999999972629,0.0006440745722179776,0.9999999999972493,-0.0012623629649030576,0.0012623629649074985
llama,climate change,C(profession)[T.architect],0.005555555555559462,0.005469553476402912,0.30976093865148946,0.0054426459632912145,0.3073751027915703,-0.005111834513093627,0.016222945624212552
llama,climate change,C(profession)[T.bank teller],1.1102230246251565e-15,0.0006472587670301861,0.9999999999986314,0.0006440745722179656,0.9999999999986247,-0.0012623629649041444,0.0012623629649063648
llama,climate change,C(profession)[T.business manager],-1.0035677337725232e-14,0.0006472587670301981,0.9999999999876289,0.0006440745722179697,0.9999999999875677,-0.0012623629649152984,0.0012623629648952272
llama,climate change,C(profession)[T.cashier],-2.4424906541753444e-15,0.0006472587670301877,0.9999999999969891,0.0006440745722180006,0.9999999999969742,-0.0012623629649077658,0.0012623629649028808
llama,climate change,C(profession)[T.chef],-6.585646788589277e-15,0.0006472587670301938,0.9999999999918818,0.0006440745722179762,0.9999999999918416,-0.0012623629649118613,0.00126236296489869
llama,climate change,C(profession)[T.civil engineer],0.005555555555550651,0.005469553476402883,0.3097609386522543,0.005442645963291025,0.3073751027923207,-0.005111834513102069,0.016222945624203372
llama,climate change,C(profession)[T.computer programmer],-2.08041605486801e-15,0.0006472587670301952,0.9999999999974355,0.0006440745722179151,0.9999999999974227,-0.001262362964907236,0.0012623629649030754
llama,climate change,C(profession)[T.construction worker],-2.6645352591003757e-15,0.0006472587670301908,0.9999999999967154,0.0006440745722180019,0.9999999999966992,-0.0012623629649079905,0.0012623629649026614
llama,climate change,C(profession)[T.doctor],-2.53637037591566e-15,0.000647258767030192,0.9999999999968734,0.0006440745722179924,0.999999999996858,-0.0012623629649078437,0.001262362964902771
llama,climate change,C(profession)[T.electrician],3.552713678800501e-15,0.0006472587670301871,0.9999999999956205,0.0006440745722179865,0.9999999999955989,-0.001262362964901743,0.0012623629649088485
