,llama,gemma,qwen,ministral
llama,1.0,0.6463515289712253,0.44555602677814776,0.3997368284831897
gemma,0.6463515289712253,1.0,0.4940718960883178,0.4860552419625539
qwen,0.44555602677814776,0.4940718960883178,1.0,0.6824248777872759
ministral,0.3997368284831897,0.4860552419625539,0.6824248777872759,1.0
