model_a,model_b,n,spearman_r,spearman_p,weighted_kappa
llama,gemma,37800,0.7221574270263226,0.0,0.6463515289712253
llama,qwen,37800,0.534524313150996,0.0,0.44555602677814776
llama,ministral,37800,0.5238864736340925,0.0,0.3997368284831897
gemma,qwen,37800,0.6362683974368785,0.0,0.4940718960883178
gemma,ministral,37800,0.6811322223389148,0.0,0.4860552419625539
qwen,ministral,37800,0.707836566259205,0.0,0.6824248777872759
