model,term,coef,se_cluster,p_cluster,ci_low,ci_high
ministral,C(gender)[T.male],-2.4113604201336205,0.0586449336875001,0.0,-2.5263023780368603,-2.2964184622303807
ministral,C(gender)[T.neutral],-0.5842537478158348,0.04387219947421491,1.839372795381002e-40,-0.6702416787078531,-0.4982658169238165
ministral,C(country)[T.Brazil],-0.5938783460964361,0.1336728018376964,8.880551320895349e-06,-0.8558722234108805,-0.3318844687819916
ministral,C(country)[T.Canada],0.28653050938123387,0.14860555899750336,0.0538392320154682,-0.004731034156314873,0.5777920529187826
ministral,C(country)[T.China],-2.3108797386935054,0.12490278857484444,2.0108143436676852e-76,-2.5556847058688215,-2.0660747715181893
ministral,C(country)[T.Egypt],-2.9276510543667875,0.13113677925055361,2.104803122534749e-110,-3.184674418746452,-2.670627689987123
ministral,C(country)[T.France],-0.6712976293467872,0.1272067457713822,1.3116037879660223e-07,-0.9206182696492391,-0.4219769890443352
ministral,C(country)[T.Germany],-0.9758730266011749,0.12751310832826102,1.961618139444682e-14,-1.225794126481321,-0.7259519267210289
ministral,C(country)[T.India],-1.527453116370429,0.11844807611173347,4.768473817136887e-38,-1.7596070795874859,-1.2952991531533722
ministral,C(country)[T.Italy],-1.375254365212848,0.12840105949025604,9.07564884541557e-27,-1.6269158173905347,-1.1235929130351612
ministral,C(country)[T.Japan],-0.9761469847151928,0.12057965517252983,5.705143066301115e-16,-1.21247876612161,-0.7398152033087755
ministral,C(country)[T.Kenya],-1.926964014691837,0.12207855514617419,3.970118832289447e-56,-2.1662335860630253,-1.6876944433206487
ministral,C(country)[T.Mexico],-0.6524083561198727,0.1349418619443271,1.3332206236271766e-06,-0.9168895455375299,-0.38792716670221544
ministral,C(country)[T.Morocco],-2.4193686897704167,0.12320801137981045,7.548588476935826e-86,-2.6608519546816463,-2.1778854248591872
ministral,C(country)[T.Nigeria],-2.4116550091484394,0.12340541008807439,4.774723252347129e-85,-2.653525168418461,-2.169784849878418
ministral,C(country)[T.Pakistan],-2.8894239719003845,0.12470306982344244,9.048955027390325e-119,-3.1338374975159153,-2.6450104462848536
ministral,C(country)[T.Poland],-1.9268634541067833,0.1309700227746423,5.379038326682996e-49,-2.1835599817994726,-1.6701669264140937
ministral,C(country)[T.South Africa],-1.507140581119838,0.12395855544777509,5.1747855332642365e-34,-1.7500948853730884,-1.2641862768665875
ministral,C(country)[T.South Korea],-1.5274539835254115,0.12469495042921723,1.6898156165592207e-34,-1.7718515954206846,-1.2830563716301384
ministral,C(country)[T.Turkey],-1.968154464721736,0.12576324325051774,3.338962064052064e-55,-2.214645892071701,-1.7216630373717712
ministral,C(country)[T.USA],-1.1143803541106934,0.13654178173021586,3.3099771832993824e-16,-1.3819973286868457,-0.8467633795345411
ministral,C(profession)[T.administrative assistant],0.6407102587954001,0.12780462889680963,5.35320002506267e-07,0.39021778910014615,0.8912027284906541
ministral,C(profession)[T.architect],1.2820129735657178,0.13153817376324736,1.9127891304798875e-22,1.0242028903975815,1.539823056733854
ministral,C(profession)[T.bank teller],-0.5817006140999257,0.14170301408372504,4.0419466430514547e-05,-0.8594334182047988,-0.3039678099950526
ministral,C(profession)[T.business manager],0.7212832234830685,0.13220784945212571,4.8786813941984615e-08,0.4621606000834086,0.9804058468827284
ministral,C(profession)[T.cashier],-0.8402460885593448,0.14615787748134562,8.982931462775906e-09,-1.1267102644796,-0.5537819126390896
ministral,C(profession)[T.chef],1.0806870691882884,0.12922411268829734,6.120015267581695e-17,0.8274124623850803,1.3339616759914965
ministral,C(profession)[T.civil engineer],0.6704786004507725,0.12726665605611714,1.3769485713775268e-07,0.4210405381479365,0.9199166627536084
ministral,C(profession)[T.computer programmer],0.7781617724481271,0.1531380222077674,3.745830343124431e-07,0.47801676425720807,1.0783067806390463
ministral,C(profession)[T.construction worker],-1.668338676701742,0.1481240862472678,1.9957613806949482e-29,-1.9586565509892917,-1.3780208024141924
ministral,C(profession)[T.doctor],1.2685968527546558,0.13367300502333598,2.3037141322108027e-21,1.0066025772036755,1.5305911283056362
ministral,C(profession)[T.electrician],-0.7806363304887215,0.14179378189003689,3.682595737903255e-08,-1.0585470362249216,-0.5027256247525215
ministral,C(profession)[T.elementary school teacher],1.0022968898516185,0.14217414821814894,1.7919705695776405e-12,0.723640679811387,1.28095309989185
ministral,C(profession)[T.farmer],-1.3558331617086004,0.13644200864593756,2.8716223153223137e-23,-1.6232545846329407,-1.08841173878426
ministral,C(profession)[T.flight attendant],1.451673934048248,0.13599204143974317,1.33691940047297e-26,1.1851344306422729,1.7182134374542233
ministral,C(profession)[T.hairdresser],0.29356716026975643,0.1397780323293614,0.03570789430988791,0.019607251074332754,0.5675270694651802
ministral,C(profession)[T.janitor],-1.9961188919239936,0.14524041468443902,5.56774259977259e-43,-2.2807848738051564,-1.7114529100428308
ministral,C(profession)[T.journalist],1.2595415856235013,0.16852444670025968,7.782869953838585e-14,0.9292397395764523,1.58984343167055
ministral,C(profession)[T.lawyer],0.952951334235686,0.13439643659112338,1.3353206618401092e-12,0.6895391588665631,1.2163635096048089
ministral,C(profession)[T.mechanic],-1.4278824245589452,0.14514229720986638,7.737634652618368e-23,-1.7123560997236917,-1.1434087493941987
ministral,C(profession)[T.paramedic],0.7594015775444714,0.12386381076521219,8.73614144055006e-10,0.5166329694567708,1.0021701856321719
ministral,C(profession)[T.pharmacist],0.788906941543579,0.1279682555825103,7.05435711136584e-10,0.5380937694374421,1.0397201136497158
ministral,C(profession)[T.plumber],-1.202671230884325,0.1442842233162213,7.721620178925213e-17,-1.4854631121214532,-0.919879349647197
ministral,C(profession)[T.police officer],-1.2807454573908026,0.1356224290441037,3.606566653787255e-21,-1.5465605338130848,-1.0149303809685204
ministral,C(profession)[T.real estate agent],0.2332812168773487,0.1417034779043188,0.09970958842759393,-0.04445249629918352,0.5110149300538809
ministral,C(profession)[T.registered nurse],1.152732639504336,0.13369164916648849,6.560908024632337e-18,0.8907018221042542,1.4147634569044178
ministral,C(profession)[T.social worker],2.374101158503038,0.14895244008132016,3.4164231888371736e-57,2.0821597405342898,2.666042576471786
ministral,C(profession)[T.truck driver],-2.0881595362385106,0.1474209677748228,1.5172112303368614e-45,-2.377099323643203,-1.799219748833818
ministral,C(profession)[T.veterinarian],1.4234940251372235,0.12946808087382375,4.041737972890235e-28,1.1697412494770099,1.677246800797437
ministral,C(profession)[T.waiter],-0.2356262927240588,0.13859470576608784,0.08911017219500146,-0.5072669244735167,0.03601433902539916
ministral,C(age)[T.45],-1.2289551829347967,0.05000281667402316,2.1867112930064433e-133,-1.326958902741441,-1.1309514631281523
ministral,C(age)[T.65],-1.8893674887161445,0.055868975145683605,1.0787655501931324e-250,-1.9988686678548477,-1.7798663095774412
ministral,C(topic)[T.economic redistribution],-9.3791050732822,0.14297202999853792,0.0,-9.659325102875915,-9.098885043688487
ministral,C(topic)[T.gender equality],18.053593163808195,0.13764806336419566,0.0,17.783807917072686,18.323378410543704
ministral,C(topic)[T.immigration],-5.987320159472672,0.08861186355145056,0.0,-6.160996220636493,-5.813644098308851
ministral,C(topic)[T.lgbtq rights],-4.150052127560254,0.07336134184386306,0.0,-4.293837715431757,-4.006266539688752
ministral,C(topic)[T.religion and secularism],-10.557767868623461,0.1694032278160608,0.0,-10.889792094007774,-10.225743643239149
ministral,C(topic)[T.trust in government],-10.367612160497092,0.1730530969367209,0.0,-10.706789997906185,-10.028434323088
ministral,2.0/3.0,-19.88165868053487,0.343830954591412,0.0,-20.555554968304065,-19.207762392765673
ministral,3.0/4.0,2.5419093002724567,0.018006007465092642,0.0,2.506618174135516,2.5772004264093975
