,llama,gemma,qwen,ministral
llama,1.0,0.7221574270263226,0.534524313150996,0.5238864736340925
gemma,0.7221574270263226,1.0,0.6362683974368785,0.6811322223389148
qwen,0.534524313150996,0.6362683974368785,1.0,0.707836566259205
ministral,0.5238864736340925,0.6811322223389148,0.707836566259205,1.0
