group,factor,chi2,df,p_value,p_bh,significant_bh_0.05
high_disagreement,topic,1716.322222222222,6,0.0,9.090863636590908e-06,True
high_disagreement,country,2310.529100529101,19,0.0,0.0063149684251578,True
high_disagreement,profession,182.88888888888889,29,2.9293723216600213e-24,9.090863636590908e-06,True
high_disagreement,gender,76.65396825396826,2,2.2636135536362632e-17,0.0016874915625421248,True
high_consensus,topic,4539.781481481481,6,0.0,9.090863636590908e-06,True
high_consensus,country,4081.343915343915,19,0.0,0.0008866622333554667,True
high_consensus,profession,234.52380952380943,29,4.972093538791475e-34,9.090863636590908e-06,True
high_consensus,gender,206.64761904761903,2,1.3397990779908208e-45,4.9999750001249995e-05,True
