model,abstention_range_pct,avg_abs_rating_shift,avg_ranking_rho_country,avg_ranking_rho_profession,dominant_factor_stable
llama,0.0,0.10768518518518515,0.613533834586466,0.7235817575083425,True
gemma,0.1005291005291005,0.142308201058201,0.6718045112781954,0.946829810901001,False
qwen,7.738095238095241,0.14361772486772484,0.7056390977443607,0.9371523915461624,False
ministral,53.66666666666667,0.04596560846560842,0.7620300751879698,0.9572858731924361,False
deepseek,0.0,,,,
