profession,topic,coef_llama,rank_llama,rank_label_llama,coef_gemma,rank_gemma,rank_label_gemma,coef_qwen,rank_qwen,rank_label_qwen,coef_ministral,rank_ministral,rank_label_ministral,r2_llama,reliability_llama,r2_gemma,reliability_gemma,r2_qwen,reliability_qwen,r2_ministral,reliability_ministral
business manager,immigration,0.0277777777777685,5.0,tied for rank 5,0.033333333333323,15,tied for rank 15,0.3111111111111045,4,rank 4,0.1555555555555475,9.0,rank 9,0.3969568522879252,OK,0.3726350576522469,OK,0.3398726858477495,OK,0.5158797091118408,OK
business manager,lgbtq rights,0.0277777777777673,11.0,tied for rank 11,0.1611111111110993,16,rank 16,0.088888888888879,13,rank 13,0.0722222222222122,14.0,rank 14,0.4170611000984399,OK,0.8401412986666634,OK,0.6321367659772603,OK,0.6741636613446143,OK
business manager,religion and secularism,0.0499999999999933,6.0,rank 6,-0.0055555555555632,11,tied for rank 11,-7.616274810140239e-15,8,tied for rank 8,-0.0055555555555629,2.0,tied for rank 2,0.6211704893985865,OK,0.5806809272775824,OK,0.3342260596127966,OK,0.1108828716671854,LOW_R2
business manager,trust in government,-0.0444444444444514,7.0,tied for rank 7,-0.0111111111111162,7,rank 7,-7.170463762898114e-15,5,tied for rank 5,-7.485260569738178e-15,1.0,tied for rank 1,0.6356434168397304,OK,0.4250097666563125,OK,0.2688968251367911,OK,0.0885459906673156,LOW_R2
cashier,climate change,-2.4424906541753444e-15,3.0,tied for rank 3,-0.0166666666666694,16,tied for rank 16,-0.5222222222222264,26,rank 26,-0.111111111111114,9.0,rank 9,0.0374165430267057,LOW_R2,0.3702430840063991,OK,0.5952311446450491,OK,0.3434865706988464,OK
cashier,economic redistribution,,,,0.3388888888888861,9,tied for rank 9,-0.0833333333333352,21,rank 21,-1.9984014443252818e-15,4.0,tied for rank 4,,DEGENERATE_NO_VARIANCE,0.5473674846873738,OK,0.5679787271652188,OK,0.2632456047346799,OK
cashier,gender equality,-0.0833333333333374,21.0,rank 21,0.0055555555555528,5,tied for rank 5,-0.1611111111111147,19,tied for rank 19,,,,0.7512444587891239,OK,0.2276508160887945,OK,0.5153323031777381,OK,,DEGENERATE_NO_VARIANCE
cashier,immigration,-0.1555555555555576,19.0,rank 19,-2.6645352591003757e-15,19,tied for rank 19,-0.0277777777777792,19,tied for rank 19,-0.0888888888888912,19.0,rank 19,0.3969568522879252,OK,0.3726350576522469,OK,0.3398726858477495,OK,0.5158797091118408,OK
cashier,lgbtq rights,-0.0388888888888911,17.0,tied for rank 17,-0.177777777777782,25,rank 25,-0.2444444444444478,24,rank 24,-0.0944444444444483,19.0,tied for rank 19,0.4170611000984399,OK,0.8401412986666634,OK,0.6321367659772603,OK,0.6741636613446143,OK
cashier,religion and secularism,0.0611111111111104,4.0,rank 4,0.0499999999999978,5,rank 5,-0.050000000000002,14,tied for rank 14,-1.9984014443252818e-15,1.0,tied for rank 1,0.6211704893985865,OK,0.5806809272775824,OK,0.3342260596127966,OK,0.1108828716671854,LOW_R2
cashier,trust in government,-0.2500000000000018,16.0,rank 16,-0.0999999999999998,15,rank 15,-1.7763568394002505e-15,5,tied for rank 5,-1.9984014443252818e-15,1.0,tied for rank 1,0.6356434168397304,OK,0.4250097666563125,OK,0.2688968251367911,OK,0.0885459906673156,LOW_R2
chef,climate change,-6.585646788589277e-15,3.0,tied for rank 3,0.0277777777777712,9,tied for rank 9,0.1055555555555486,15,rank 15,0.0388888888888822,1.0,tied for rank 1,0.0374165430267057,LOW_R2,0.3702430840063991,OK,0.5952311446450491,OK,0.3434865706988464,OK
chef,economic redistribution,,,,0.3833333333333255,7,rank 7,-0.0222222222222269,14,rank 14,-4.8971127871192235e-15,4.0,tied for rank 4,,DEGENERATE_NO_VARIANCE,0.5473674846873738,OK,0.5679787271652188,OK,0.2632456047346799,OK
chef,gender equality,0.0333333333333263,11.0,rank 11,0.055555555555547,1,tied for rank 1,0.033333333333326,10,rank 10,,,,0.7512444587891239,OK,0.2276508160887945,OK,0.5153323031777381,OK,,DEGENERATE_NO_VARIANCE
chef,immigration,0.0333333333333273,4.0,rank 4,0.2999999999999919,1,rank 1,0.1388888888888837,8,rank 8,0.1944444444444386,6.0,tied for rank 6,0.3969568522879252,OK,0.3726350576522469,OK,0.3398726858477495,OK,0.5158797091118408,OK
chef,lgbtq rights,0.0777777777777705,7.0,rank 7,0.3611111111111005,11,rank 11,0.1944444444444366,8,rank 8,0.1666666666666587,9.0,rank 9,0.4170611000984399,OK,0.8401412986666634,OK,0.6321367659772603,OK,0.6741636613446143,OK
chef,religion and secularism,0.0166666666666629,10.0,rank 10,-0.0500000000000044,16,tied for rank 16,-0.0888888888888935,18,rank 18,-4.853235416331245e-15,1.0,tied for rank 1,0.6211704893985865,OK,0.5806809272775824,OK,0.3342260596127966,OK,0.1108828716671854,LOW_R2
chef,trust in government,-0.1833333333333362,13.0,rank 13,-0.1222222222222247,18,rank 18,-0.0055555555555602,6,tied for rank 6,-4.861585681211829e-15,1.0,tied for rank 1,0.6356434168397304,OK,0.4250097666563125,OK,0.2688968251367911,OK,0.0885459906673156,LOW_R2
civil engineer,climate change,0.0055555555555506,2.0,tied for rank 2,0.24444444444444,2,rank 2,0.29444444444444,3,tied for rank 3,0.0388888888888847,1.0,tied for rank 1,0.0374165430267057,LOW_R2,0.3702430840063991,OK,0.5952311446450491,OK,0.3434865706988464,OK
civil engineer,economic redistribution,,,,0.0777777777777737,24,rank 24,-0.0277777777777801,15,rank 15,-2.220446049250313e-15,4.0,tied for rank 4,,DEGENERATE_NO_VARIANCE,0.5473674846873738,OK,0.5679787271652188,OK,0.2632456047346799,OK
civil engineer,gender equality,0.0444444444444398,10.0,rank 10,0.0333333333333296,4,tied for rank 4,0.0444444444444402,9,tied for rank 9,,,,0.7512444587891239,OK,0.2276508160887945,OK,0.5153323031777381,OK,,DEGENERATE_NO_VARIANCE
civil engineer,immigration,0.049999999999996,2.0,rank 2,0.0277777777777725,16,tied for rank 16,0.355555555555554,3,rank 3,0.0944444444444425,12.0,tied for rank 12,0.3969568522879252,OK,0.3726350576522469,OK,0.3398726858477495,OK,0.5158797091118408,OK
