profession,topic,coef_llama,rank_llama,rank_label_llama,coef_gemma,rank_gemma,rank_label_gemma,coef_qwen,rank_qwen,rank_label_qwen,coef_ministral,rank_ministral,rank_label_ministral,r2_llama,reliability_llama,r2_gemma,reliability_gemma,r2_qwen,reliability_qwen,r2_ministral,reliability_ministral
farmer,trust in government,-0.2611111111111051,17.0,tied for rank 17,-0.0388888888888865,10,tied for rank 10,0.0055555555555593,4,tied for rank 4,3.774758283725532e-15,1.0,tied for rank 1,0.6356434168397304,OK,0.4250097666563125,OK,0.2688968251367911,OK,0.0885459906673156,LOW_R2
flight attendant,climate change,-9.454534422348571e-15,3.0,tied for rank 3,0.016666666666657,11,tied for rank 11,0.2166666666666567,11,rank 11,0.0388888888888793,1.0,tied for rank 1,0.0374165430267057,LOW_R2,0.3702430840063991,OK,0.5952311446450491,OK,0.3434865706988464,OK
flight attendant,economic redistribution,,,,0.3611111111111024,8,rank 8,-0.0166666666666752,13,rank 13,-7.198865908905998e-15,4.0,tied for rank 4,,DEGENERATE_NO_VARIANCE,0.5473674846873738,OK,0.5679787271652188,OK,0.2632456047346799,OK
flight attendant,gender equality,0.1888888888888785,2.0,tied for rank 2,0.0555555555555437,1,tied for rank 1,0.0444444444444341,9,tied for rank 9,,,,0.7512444587891239,OK,0.2276508160887945,OK,0.5153323031777381,OK,,DEGENERATE_NO_VARIANCE
flight attendant,immigration,-0.0888888888888976,15.0,tied for rank 15,0.2499999999999909,3,rank 3,0.0499999999999928,11,rank 11,0.2833333333333255,1.0,rank 1,0.3969568522879252,OK,0.3726350576522469,OK,0.3398726858477495,OK,0.5158797091118408,OK
flight attendant,lgbtq rights,0.138888888888879,4.0,tied for rank 4,0.6277777777777668,3,rank 3,0.216666666666657,6,rank 6,0.2222222222222125,5.0,rank 5,0.4170611000984399,OK,0.8401412986666634,OK,0.6321367659772603,OK,0.6741636613446143,OK
flight attendant,religion and secularism,-0.0888888888888951,17.0,rank 17,-0.0666666666666738,17,rank 17,-0.055555555555563,15,rank 15,-7.036731678521987e-15,1.0,tied for rank 1,0.6211704893985865,OK,0.5806809272775824,OK,0.3342260596127966,OK,0.1108828716671854,LOW_R2
flight attendant,trust in government,-0.1555555555555615,11.0,rank 11,-0.0388888888888935,10,tied for rank 10,-0.0055555555555625,6,tied for rank 6,-7.084222509009834e-15,1.0,tied for rank 1,0.6356434168397304,OK,0.4250097666563125,OK,0.2688968251367911,OK,0.0885459906673156,LOW_R2
hairdresser,climate change,-1.9984014443252818e-15,3.0,tied for rank 3,0.0166666666666641,11,tied for rank 11,-0.3833333333333353,24,rank 24,-0.0222222222222239,3.0,rank 3,0.0374165430267057,LOW_R2,0.3702430840063991,OK,0.5952311446450491,OK,0.3434865706988464,OK
hairdresser,economic redistribution,,,,0.4055555555555532,4,tied for rank 4,-0.0666666666666679,19,tied for rank 19,-1.3322676295501878e-15,4.0,tied for rank 4,,DEGENERATE_NO_VARIANCE,0.5473674846873738,OK,0.5679787271652188,OK,0.2632456047346799,OK
hairdresser,gender equality,-0.0444444444444478,19.0,rank 19,0.0555555555555513,1,tied for rank 1,-0.1055555555555578,17,rank 17,,,,0.7512444587891239,OK,0.2276508160887945,OK,0.5153323031777381,OK,,DEGENERATE_NO_VARIANCE
