country,topic,coef_llama,rank_llama,rank_label_llama,coef_gemma,rank_gemma,rank_label_gemma,coef_qwen,rank_qwen,rank_label_qwen,coef_ministral,rank_ministral,rank_label_ministral,r2_llama,reliability_llama,r2_gemma,reliability_gemma,r2_qwen,reliability_qwen,r2_ministral,reliability_ministral
Japan,lgbtq rights,-0.1444444444444511,10.0,rank 10,-0.6851851851851934,10,rank 10,0.0222222222222178,4,rank 4,-0.2111111111111163,7.0,rank 7,0.4170611000984399,OK,0.8401412986666634,OK,0.6321367659772603,OK,0.6741636613446143,OK
Japan,religion and secularism,0.2555555555555547,9.0,rank 9,0.0370370370370341,12,tied for rank 12,-3.400058012914542e-15,12,tied for rank 12,0.0185185185185148,1.0,tied for rank 1,0.6211704893985865,OK,0.5806809272775824,OK,0.3342260596127966,OK,0.1108828716671854,LOW_R2
Japan,trust in government,0.0888888888888877,7.0,tied for rank 7,0.3740740740740728,4,rank 4,0.0111111111111072,4,tied for rank 4,0.0037037037036999,1.0,tied for rank 1,0.6356434168397304,OK,0.4250097666563125,OK,0.2688968251367911,OK,0.0885459906673156,LOW_R2
Kenya,climate change,0.0037037037037024,2.0,rank 2,0.2296296296296275,1,rank 1,0.1518518518518493,5,rank 5,-0.0037037037037053,5.0,tied for rank 5,0.0374165430267057,LOW_R2,0.3702430840063991,OK,0.5952311446450491,OK,0.3434865706988464,OK
Kenya,economic redistribution,,,,-0.0370370370370376,6,rank 6,-0.0740740740740754,16,rank 16,-0.0111111111111124,4.0,rank 4,,DEGENERATE_NO_VARIANCE,0.5473674846873738,OK,0.5679787271652188,OK,0.2632456047346799,OK
Kenya,gender equality,-0.0222222222222212,5.0,rank 5,0.0111111111111098,1,rank 1,-0.0814814814814829,13,rank 13,,,,0.7512444587891239,OK,0.2276508160887945,OK,0.5153323031777381,OK,,DEGENERATE_NO_VARIANCE
Kenya,immigration,-0.0592592592592603,13.0,rank 13,0.2481481481481461,3,rank 3,-0.0629629629629624,15,rank 15,-0.1370370370370369,7.0,tied for rank 7,0.3969568522879252,OK,0.3726350576522469,OK,0.3398726858477495,OK,0.5158797091118408,OK
Kenya,lgbtq rights,-0.3074074074074077,16.0,tied for rank 16,-1.511111111111106,16,rank 16,-0.5259259259259261,16,rank 16,-0.5925925925925919,16.0,rank 16,0.4170611000984399,OK,0.8401412986666634,OK,0.6321367659772603,OK,0.6741636613446143,OK
Kenya,religion and secularism,0.5185185185185153,6.0,rank 6,0.4148148148148115,5,rank 5,0.0851851851851829,7,rank 7,0.0185185185185172,1.0,tied for rank 1,0.6211704893985865,OK,0.5806809272775824,OK,0.3342260596127966,OK,0.1108828716671854,LOW_R2
Kenya,trust in government,-0.0592592592592607,10.0,rank 10,0.1074074074074057,8,tied for rank 8,-0.0148148148148158,9,tied for rank 9,0.0037037037037023,1.0,tied for rank 1,0.6356434168397304,OK,0.4250097666563125,OK,0.2688968251367911,OK,0.0885459906673156,LOW_R2
